Year,Name,Code,Yield,Harvest area,region
1991,INDIANA,18,92,5550000,2
1990,INDIANA,18,129,5450000,2
1989,INDIANA,18,133,5200000,2
1988,INDIANA,18,83,5000000,2
1987,INDIANA,18,135,4880000,2
1986,INDIANA,18,122,5700000,2
1985,INDIANA,18,123,6150000,2
1985,INDIANA,18,123,6168000,2
1985,INDIANA,18,123,122.6,2
1984,INDIANA,18,117,6030000,2
1984,INDIANA,18,117,6054000,2
1984,INDIANA,18,117,116.5,2
1983,INDIANA,18,73,4670000,2
1983,INDIANA,18,73,4714000,2
1983,INDIANA,18,73,72.3,2
1982,INDIANA,18,126,6270000,2
1982,INDIANA,18,126,6283000,2
1982,INDIANA,18,126,125.7,2
1981,INDIANA,18,108,6000000,2
1981,INDIANA,18,108,6069000,2
1981,INDIANA,18,108,106.8,2
1980,INDIANA,18,96,6280000,2
1980,INDIANA,18,96,6306000,2
1980,INDIANA,18,96,95.6,2
1979,INDIANA,18,112,6030000,2
1979,INDIANA,18,112,6098000,2
1979,INDIANA,18,112,108.1,2
1978,INDIANA,18,108,6200000,2
1978,INDIANA,18,108,6218000,2
1978,INDIANA,18,108,104.6,2
1977,INDIANA,18,102,6210000,2
1977,INDIANA,18,102,6227000,2
1977,INDIANA,18,102,99,2
1976,INDIANA,18,110,6300000,2
1976,INDIANA,18,110,6313000,2
1976,INDIANA,18,110,106.6,2
1975,INDIANA,18,98,5630000,2
1975,INDIANA,18,98,5648000,2
1975,INDIANA,18,98,94.3,2
1974,INDIANA,18,73,5310000,2
1974,INDIANA,18,73,5364000,2
1974,INDIANA,18,73,72.3,2
1973,INDIANA,18,102,5240000,2
1973,INDIANA,18,102,5251000,2
1973,INDIANA,18,102,101.8,2
1972,INDIANA,18,104,4884000,2
1972,INDIANA,18,104,4914000,2
1972,INDIANA,18,104,103.4,2
1971,INDIANA,18,101,5509000,2
1970,INDIANA,18,76,4923000,2
1969,INDIANA,18,100,4620000,2
1968,INDIANA,18,88,4736000,2
1967,INDIANA,18,86,5382000,2
1966,INDIANA,18,80,5077000,2
1965,INDIANA,18,94,4701000,2
1964,INDIANA,18,72,4435000,2
1963,INDIANA,18,87,4306000,2
1962,INDIANA,18,82,4140000,2
1961,INDIANA,18,74,4019000,2
1960,INDIANA,18,68,5152000,2
1959,INDIANA,18,62.5,5051000,2
1958,INDIANA,18,63,4291000,2
1957,INDIANA,18,59,4222000,2
1956,INDIANA,18,62,4592000,2
1955,INDIANA,18,56,4798000,2
1954,INDIANA,18,55.5,4665000,2
1953,INDIANA,18,51.5,4562000,2
1952,INDIANA,18,50,4458000,2
1951,INDIANA,18,53,4396000,2
1950,INDIANA,18,48.5,4227000,2
1949,INDIANA,18,50,4542000,2
1948,INDIANA,18,57,4504000,2
1947,INDIANA,18,43,4227000,2
1946,INDIANA,18,51,4398000,2
1945,INDIANA,18,53,4190000,2
1944,INDIANA,18,40.1,4410000,2
1943,INDIANA,18,49,4114000,2
1942,INDIANA,18,54,3853000,2
1941,INDIANA,18,45,3796000,2
1940,INDIANA,18,37,3737000,2
1939,INDIANA,18,50,3963000,2
1938,INDIANA,18,41,4003000,2
1937,INDIANA,18,45,4498000,2
1936,INDIANA,18,25.6,4184000,2
1935,INDIANA,18,38,4016000,2
1934,INDIANA,18,27.6,3725000,2
1933,INDIANA,18,29.5,4077000,2
1932,INDIANA,18,37.5,4379000,2
1931,INDIANA,18,39,4409000,2
1930,INDIANA,18,28,3855000,2
1929,INDIANA,18,31.3,3704000,2
1928,INDIANA,18,35.2,4204000,2
1927,INDIANA,18,31.5,3783000,2
1926,INDIANA,18,38,4337000,2
1925,INDIANA,18,42,4558000,2
1924,INDIANA,18,28,3866000,2
1923,INDIANA,18,38,4463000,2
1922,INDIANA,18,36,3884000,2
1921,INDIANA,18,36,4420000,2
1920,INDIANA,18,39.5,4638000,2
1919,INDIANA,18,35.6,4457000,2
1918,INDIANA,18,35,5350000,2
1917,INDIANA,18,35.5,5875000,2
1916,INDIANA,18,32.5,5350000,2
1915,INDIANA,18,38.5,5250000,2
1914,INDIANA,18,33,5150000,2
1913,INDIANA,18,35.5,5100000,2
1912,INDIANA,18,39.5,5050000,2
1911,INDIANA,18,34.5,4950000,2
1910,INDIANA,18,39,4950000,2
1909,INDIANA,18,39.9,5095000,2
1908,INDIANA,18,30.5,4875000,2
1907,INDIANA,18,36.5,4950000,2
1906,INDIANA,18,41,5075000,2
1905,INDIANA,18,42,5000000,2
1904,INDIANA,18,33,5450000,2
1903,INDIANA,18,35,5150000,2
1902,INDIANA,18,39,5225000,2
1901,INDIANA,18,22,5050000,2
1900,INDIANA,18,41.5,5025000,2
1899,INDIANA,18,39.8,4568000,2
1898,INDIANA,18,38.5,4375000,2
1897,INDIANA,18,30.5,4400000,2
1896,INDIANA,18,39.5,4500000,2
1895,INDIANA,18,36,4300000,2
1894,INDIANA,18,30,4100000,2
1893,INDIANA,18,24,3900000,2
1892,INDIANA,18,31,3725000,2
1891,INDIANA,18,36,3975000,2
1890,INDIANA,18,25,3875000,2
1889,INDIANA,18,30.4,3775000,2
1888,INDIANA,18,37,3850000,2
1887,INDIANA,18,22,3700000,2
1886,INDIANA,18,34,3650000,2
1885,INDIANA,18,36,3650000,2
1884,INDIANA,18,31,3525000,2
1883,INDIANA,18,29,3450000,2
1882,INDIANA,18,34,3350000,2
1881,INDIANA,18,22,3450000,2
1880,INDIANA,18,25.5,3425000,2
1879,INDIANA,18,31.4,3678000,2
1878,INDIANA,18,32,3700000,2
1877,INDIANA,18,35,3675000,2
1876,INDIANA,18,35,3500000,2
1875,INDIANA,18,32,3175000,2
1874,INDIANA,18,34,2850000,2
1873,INDIANA,18,30,2550000,2
1872,INDIANA,18,38.5,2600000,2
1871,INDIANA,18,35.5,2500000,2
1870,INDIANA,18,39.5,2325000,2
1869,INDIANA,18,25.5,2050000,2
1868,INDIANA,18,34,2075000,2
1867,INDIANA,18,29,1975000,2
1866,INDIANA,18,36.5,1950000,2
2018,IOWA,19,196,12800000,2
2017,IOWA,19,202,12900000,2
2016,IOWA,19,203,13500000,2
2015,IOWA,19,192,13050000,2
2014,IOWA,19,178,13300000,2
2013,IOWA,19,164,13050000,2
2012,IOWA,19,137,13700000,2
2011,IOWA,19,172,13700000,2
2010,IOWA,19,165,13050000,2
2009,IOWA,19,181,13300000,2
2008,IOWA,19,171,12800000,2
2007,IOWA,19,171,13900000,2
2006,IOWA,19,166,12350000,2
2005,IOWA,19,173,12500000,2
2004,IOWA,19,181,12400000,2
2003,IOWA,19,157,11900000,2
2002,IOWA,19,163,11850000,2
2001,IOWA,19,146,11400000,2
2000,IOWA,19,144,12000000,2
1999,IOWA,19,149,11800000,2
1998,IOWA,19,145,12200000,2
1997,IOWA,19,138,11900000,2
1996,IOWA,19,138,12400000,2
1995,IOWA,19,123,11600000,2
1994,IOWA,19,152,12600000,2
1993,IOWA,19,80,11000000,2
1992,IOWA,19,147,12950000,2
1991,IOWA,19,117,12200000,2
1990,IOWA,19,126,12400000,2
1989,IOWA,19,118,12250000,2
1988,IOWA,19,84,10700000,2
1987,IOWA,19,130,10150000,2
1986,IOWA,19,135,12050000,2
1985,IOWA,19,126,13550000,2
1984,IOWA,19,112,12900000,2
1983,IOWA,19,87,8550000,2
1982,IOWA,19,120,13150000,2
1981,IOWA,19,125,13850000,2
1980,IOWA,19,110,13300000,2
1979,IOWA,19,127,13100000,2
1978,IOWA,19,115,12850000,2
1977,IOWA,19,86,12700000,2
1976,IOWA,19,91,12900000,2
1975,IOWA,19,90,12420000,2
1974,IOWA,19,80,12100000,2
1974,IOWA,19,80,12250000,2
1974,IOWA,19,80,79,2
1973,IOWA,19,107,11280000,2
1972,IOWA,19,116,10600000,2
1971,IOWA,19,102,11550000,2
1970,IOWA,19,86,10077000,2
1969,IOWA,19,99,9549000,2
1968,IOWA,19,93,9775000,2
1967,IOWA,19,88.5,11145000,2
1966,IOWA,19,89,10132000,2
1965,IOWA,19,82,9933000,2
1964,IOWA,19,77.5,9738000,2
1963,IOWA,19,80,10645000,2
1962,IOWA,19,77,9677000,2
1961,IOWA,19,75.5,9976000,2
1960,IOWA,19,63.5,12166000,2
1959,IOWA,19,65,12139000,2
1958,IOWA,19,66,9782000,2
1957,IOWA,19,62,9860000,2
1956,IOWA,19,53.5,9413000,2
1955,IOWA,19,48.5,10293000,2
1954,IOWA,19,54.5,10014000,2
1953,IOWA,19,53,10811000,2
1952,IOWA,19,62.5,10449000,2
1951,IOWA,19,43.5,9680000,2
1950,IOWA,19,48.5,9396000,2
1949,IOWA,19,47,11101000,2
1948,IOWA,19,60.5,10732000,2
1947,IOWA,19,31,9588000,2
1946,IOWA,19,57,10600000,2
1945,IOWA,19,44.5,9924000,2
1944,IOWA,19,52.5,10397000,2
1943,IOWA,19,55,10127000,2
1942,IOWA,19,60,9133000,2
1941,IOWA,19,51,8616000,2
1940,IOWA,19,52.5,8624000,2
1939,IOWA,19,52.2,8960000,2
1938,IOWA,19,46,9844000,2
1937,IOWA,19,45,10240000,2
1936,IOWA,19,20,7445000,2
1935,IOWA,19,38,8962000,2
1934,IOWA,19,28.2,5701000,2
1933,IOWA,19,40,10435000,2
1932,IOWA,19,43,10747000,2
1931,IOWA,19,32.9,10037000,2
1930,IOWA,19,34,9831000,2
1929,IOWA,19,40.2,9684000,2
1928,IOWA,19,41.5,9752000,2
1927,IOWA,19,35,9035000,2
1926,IOWA,19,39,9515000,2
1925,IOWA,19,43.9,9665000,2
1924,IOWA,19,28,8767000,2
1923,IOWA,19,40.5,9006000,2
1922,IOWA,19,45,8787000,2
1921,IOWA,19,43,9226000,2
1920,IOWA,19,46,9229000,2
1919,IOWA,19,41.6,8869000,2
1918,IOWA,19,37,9800000,2
1917,IOWA,19,38.5,10500000,2
1916,IOWA,19,38,9800000,2
1915,IOWA,19,32.5,9900000,2
1914,IOWA,19,40.5,9850000,2
1913,IOWA,19,37.5,9720000,2
1912,IOWA,19,46,9920000,2
1911,IOWA,19,35.5,9850000,2
1910,IOWA,19,41.5,9530000,2
1909,IOWA,19,37.1,9401000,2
1908,IOWA,19,38,9350000,2
1907,IOWA,19,35,9700000,2
1906,IOWA,19,45.5,9650000,2
1905,IOWA,19,41.5,9600000,2
1904,IOWA,19,39,9550000,2
1903,IOWA,19,32.5,8410000,2
1902,IOWA,19,38,9560000,2
1901,IOWA,19,28.5,9460000,2
1900,IOWA,19,45,9100000,2
1899,IOWA,19,39.1,8840000,2
1898,IOWA,19,36,8660000,2
1897,IOWA,19,33.5,9020000,2
1896,IOWA,19,43,9160000,2
1895,IOWA,19,39,9070000,2
1894,IOWA,19,15,8750000,2
1893,IOWA,19,37.5,8180000,2
1892,IOWA,19,30.5,7860000,2
1891,IOWA,19,40.5,9040000,2
1890,IOWA,19,28,8790000,2
1889,IOWA,19,41.3,8610000,2
1888,IOWA,19,39.5,8440000,2
1887,IOWA,19,30,8120000,2
1886,IOWA,19,29,7960000,2
1885,IOWA,19,36.5,7580000,2
1884,IOWA,19,39.5,7360000,2
1883,IOWA,19,29,7000000,2
1882,IOWA,19,30.5,6740000,2
1881,IOWA,19,30,6530000,2
1880,IOWA,19,39.5,6950000,2
1879,IOWA,19,41.6,6616000,2
1878,IOWA,19,40.5,6100000,2
1877,IOWA,19,33.5,5800000,2
1876,IOWA,19,34,5200000,2
1875,IOWA,19,35,4600000,2
1874,IOWA,19,34,4150000,2
1873,IOWA,19,32.5,3600000,2
1872,IOWA,19,41,3360000,2
1871,IOWA,19,43.5,3060000,2
1870,IOWA,19,40,2550000,2
1869,IOWA,19,33.5,2080000,2
1868,IOWA,19,40.5,1890000,2
1867,IOWA,19,41,1810000,2
1866,IOWA,19,32,1810000,2
2018,KANSAS,20,129,5000000,2
2017,KANSAS,20,132,5200000,2
2016,KANSAS,20,142,4920000,2
2015,KANSAS,20,148,3920000,2
2014,KANSAS,20,149,3800000,2
2013,KANSAS,20,126,4000000,2
2012,KANSAS,20,95,3950000,2
2011,KANSAS,20,107,4200000,2
2010,KANSAS,20,124,4650000,2
2009,KANSAS,20,155,3860000,2
2008,KANSAS,20,133,3630000,2
2007,KANSAS,20,138,3680000,2
2006,KANSAS,20,115,3000000,2
2005,KANSAS,20,135,3450000,2
2004,KANSAS,20,150,2880000,2
2003,KANSAS,20,120,2500000,2
2002,KANSAS,20,116,2600000,2
2001,KANSAS,20,127,3050000,2
2000,KANSAS,20,130,3170000,2
1999,KANSAS,20,141,2980000,2
1998,KANSAS,20,147,2850000,2
1997,KANSAS,20,143,2600000,2
1996,KANSAS,20,152,2350000,2
1995,KANSAS,20,124,1970000,2
1994,KANSAS,20,143,2100000,2
1993,KANSAS,20,120,1800000,2
1992,KANSAS,20,150,1730000,2
1991,KANSAS,20,125,1650000,2
1990,KANSAS,20,130,1450000,2
1989,KANSAS,20,125,1240000,2
1988,KANSAS,20,125,1150000,2
1987,KANSAS,20,120,1230000,2
1986,KANSAS,20,136,1335000,2
1985,KANSAS,20,130,1170000,2
1984,KANSAS,20,125,955000,2
1983,KANSAS,20,93,920000,2
1982,KANSAS,20,114,1220000,2
1981,KANSAS,20,126,1175000,2
1980,KANSAS,20,94,1180000,2
1979,KANSAS,20,117,1470000,2
1978,KANSAS,20,102,1500000,2
1977,KANSAS,20,96,1680000,2
1976,KANSAS,20,96,1790000,2
1975,KANSAS,20,86,1640000,2
1974,KANSAS,20,79,1670000,2
1973,KANSAS,20,100,1540000,2
1972,KANSAS,20,104,1250000,2
1971,KANSAS,20,95,1311000,2
1970,KANSAS,20,64,1285000,2
1969,KANSAS,20,79,1208000,2
1968,KANSAS,20,78,1134000,2
1967,KANSAS,20,68,1060000,2
1966,KANSAS,20,58,1029000,2
1965,KANSAS,20,59,1050000,2
1964,KANSAS,20,45,1040000,2
1963,KANSAS,20,46,1350000,2
1962,KANSAS,20,51,1298000,2
1961,KANSAS,20,48,1225000,2
1960,KANSAS,20,45.5,1725000,2
1959,KANSAS,20,42,1730000,2
1958,KANSAS,20,42,1571000,2
1957,KANSAS,20,30,1206000,2
1956,KANSAS,20,25,901000,2
1955,KANSAS,20,24,1039000,2
1954,KANSAS,20,24,1349000,2
1953,KANSAS,20,22,1774000,2
1952,KANSAS,20,22.5,1986000,2
1951,KANSAS,20,24,2187000,2
1950,KANSAS,20,35,2442000,2
1949,KANSAS,20,27.7,2316000,2
1948,KANSAS,20,32.5,2281000,2
1947,KANSAS,20,18,1986000,2
1946,KANSAS,20,22,2469000,2
1945,KANSAS,20,23.5,2757000,2
1944,KANSAS,20,27.6,3372000,2
1943,KANSAS,20,23,2987000,2
1942,KANSAS,20,27,2939000,2
1941,KANSAS,20,23,2314000,2
1940,KANSAS,20,17.5,1959000,2
1939,KANSAS,20,15.2,2095000,2
1938,KANSAS,20,21,1944000,2
1937,KANSAS,20,13,1719000,2
1936,KANSAS,20,6,497000,2
1935,KANSAS,20,9.5,2409000,2
1934,KANSAS,20,5.2,172000,2
1933,KANSAS,20,12,5548000,2
1932,KANSAS,20,19,6317000,2
1931,KANSAS,20,18,5515000,2
1930,KANSAS,20,12.5,5399000,2
1929,KANSAS,20,18,5649000,2
1928,KANSAS,20,25,6303000,2
1927,KANSAS,20,27,5736000,2
1926,KANSAS,20,12,4561000,2
1925,KANSAS,20,17.6,5894000,2
1924,KANSAS,20,21.7,5494000,2
1923,KANSAS,20,23,5022000,2
1922,KANSAS,20,19,4461000,2
1921,KANSAS,20,22.8,3988000,2
1920,KANSAS,20,26.2,4607000,2
1919,KANSAS,20,15.5,3676000,2
1918,KANSAS,20,7,6130000,2
1917,KANSAS,20,13,9156000,2
1916,KANSAS,20,10,6950000,2
1915,KANSAS,20,31,5550000,2
1914,KANSAS,20,18.5,5850000,2
1913,KANSAS,20,3,7320000,2
1912,KANSAS,20,23,7575000,2
1911,KANSAS,20,14.5,8157000,2
1910,KANSAS,20,19,8950000,2
1909,KANSAS,20,19.1,8109000,2
1908,KANSAS,20,22,7386000,2
1907,KANSAS,20,22,7087000,2
1906,KANSAS,20,29,6819000,2
1905,KANSAS,20,28,7042000,2
1904,KANSAS,20,21,6707000,2
1903,KANSAS,20,26,6707000,2
1902,KANSAS,20,30,7140000,2
1901,KANSAS,20,8,6836000,2
1900,KANSAS,20,19,7472000,2
1899,KANSAS,20,27.8,8266000,2
1898,KANSAS,20,19,7315000,2
1897,KANSAS,20,19,8408000,2
1896,KANSAS,20,28,8008000,2
1895,KANSAS,20,24.5,8400000,2
1894,KANSAS,20,11,3576000,2
1893,KANSAS,20,21.5,6391000,2
1892,KANSAS,20,24.5,5791000,2
1891,KANSAS,20,26.5,5386000,2
1890,KANSAS,20,10.5,3807000,2
1889,KANSAS,20,35.5,7319000,2
1888,KANSAS,20,26.5,7566000,2
1887,KANSAS,20,14.5,5666000,2
1886,KANSAS,20,22,6301000,2
1885,KANSAS,20,32.5,5456000,2
1884,KANSAS,20,37,4960000,2
1883,KANSAS,20,36.5,5129000,2
1882,KANSAS,20,33.5,4662000,2
1881,KANSAS,20,18,4200000,2
1880,KANSAS,20,29.5,3726000,2
1879,KANSAS,20,30.9,3418000,2
1878,KANSAS,20,28.5,2745000,2
1877,KANSAS,20,34,2926000,2
1876,KANSAS,20,35,2105000,2
1875,KANSAS,20,34.5,2206000,2
1874,KANSAS,20,10.5,1740000,2
1873,KANSAS,20,23.5,1371000,2
1872,KANSAS,20,36,1160000,2
1871,KANSAS,20,36.5,860000,2
1870,KANSAS,20,28,570000,2
1869,KANSAS,20,38.5,445000,2
1868,KANSAS,20,20,340000,2
1867,KANSAS,20,38.5,260000,2
1866,KANSAS,20,28,217000,2
2018,KENTUCKY,21,175,1230000,3
2017,KENTUCKY,21,178,1220000,3
2016,KENTUCKY,21,159,1400000,3
2015,KENTUCKY,21,172,1310000,3
2014,KENTUCKY,21,158,1430000,3
2013,KENTUCKY,21,170,1430000,3
2012,KENTUCKY,21,68,1530000,3
2011,KENTUCKY,21,139,1300000,3
2010,KENTUCKY,21,124,1230000,3
2009,KENTUCKY,21,165,1150000,3
2008,KENTUCKY,21,136,1120000,3
2007,KENTUCKY,21,128,1340000,3
2006,KENTUCKY,21,146,1040000,3
2005,KENTUCKY,21,132,1180000,3
2004,KENTUCKY,21,152,1140000,3
2003,KENTUCKY,21,137,1080000,3
2002,KENTUCKY,21,104,1070000,3
2001,KENTUCKY,21,142,1100000,3
2000,KENTUCKY,21,130,1230000,3
1999,KENTUCKY,21,105,1180000,3
1998,KENTUCKY,21,115,1180000,3
1997,KENTUCKY,21,103,1150000,3
1996,KENTUCKY,21,124,1200000,3
1995,KENTUCKY,21,108,1140000,3
1994,KENTUCKY,21,128,1220000,3
1993,KENTUCKY,21,104,1220000,3
1992,KENTUCKY,21,132,1300000,3
1991,KENTUCKY,21,89,1250000,3
1990,KENTUCKY,21,100,1200000,3
1989,KENTUCKY,21,116,1180000,3
1988,KENTUCKY,21,73,1100000,3
1987,KENTUCKY,21,104,1140000,3
1986,KENTUCKY,21,92,1520000,3
1985,KENTUCKY,21,102,1560000,3
1985,KENTUCKY,21,102,1721000,3
1985,KENTUCKY,21,102,92.5,3
1984,KENTUCKY,21,100,1460000,3
1984,KENTUCKY,21,100,1498000,3
1984,KENTUCKY,21,100,97.5,3
1983,KENTUCKY,21,48,960000,3
1983,KENTUCKY,21,48,1080000,3
1983,KENTUCKY,21,48,42.7,3
1982,KENTUCKY,21,103,1490000,3
1982,KENTUCKY,21,103,1502000,3
1982,KENTUCKY,21,103,102.2,3
1981,KENTUCKY,21,98,1490000,3
1981,KENTUCKY,21,98,1504000,3
1981,KENTUCKY,21,98,97.1,3
1980,KENTUCKY,21,70,1480000,3
1980,KENTUCKY,21,70,1490000,3
1980,KENTUCKY,21,70,69.5,3
1979,KENTUCKY,21,102,1300000,3
1979,KENTUCKY,21,102,1320000,3
1979,KENTUCKY,21,102,100.5,3
1978,KENTUCKY,21,85,1410000,3
1978,KENTUCKY,21,85,1420000,3
1978,KENTUCKY,21,85,84.4,3
1977,KENTUCKY,21,90,1470000,3
1976,KENTUCKY,21,102,1360000,3
1975,KENTUCKY,21,77,1140000,3
1975,KENTUCKY,21,77,302600,3
1974,KENTUCKY,21,82,1075000,3
1973,KENTUCKY,21,85,1010000,3
1972,KENTUCKY,21,86,968000,3
1971,KENTUCKY,21,77,1183000,3
1970,KENTUCKY,21,50,939000,3
1969,KENTUCKY,21,77,945000,3
1968,KENTUCKY,21,66,1027000,3
1967,KENTUCKY,21,80,1168000,3
1966,KENTUCKY,21,59,1102000,3
1965,KENTUCKY,21,69,1049000,3
1964,KENTUCKY,21,56,1039000,3
1963,KENTUCKY,21,66,1094000,3
1962,KENTUCKY,21,58,1116000,3
1961,KENTUCKY,21,55,1116000,3
1960,KENTUCKY,21,48,1529000,3
1959,KENTUCKY,21,45,1689000,3
1958,KENTUCKY,21,47,1421000,3
1957,KENTUCKY,21,41,1459000,3
1956,KENTUCKY,21,46,1782000,3
1955,KENTUCKY,21,41,1876000,3
1954,KENTUCKY,21,31,1976000,3
1953,KENTUCKY,21,35.5,1894000,3
1952,KENTUCKY,21,28,2003000,3
1951,KENTUCKY,21,37.5,2104000,3
1950,KENTUCKY,21,37,2080000,3
1949,KENTUCKY,21,35.5,2303000,3
1948,KENTUCKY,21,40,2381000,3
1947,KENTUCKY,21,35,2127000,3
1946,KENTUCKY,21,36,2194000,3
1945,KENTUCKY,21,32,2118000,3
1944,KENTUCKY,21,24.7,2449000,3
1943,KENTUCKY,21,28,2457000,3
1942,KENTUCKY,21,31,2507000,3
1941,KENTUCKY,21,28.5,2527000,3
1940,KENTUCKY,21,24.5,2553000,3
1939,KENTUCKY,21,24.6,2553000,3
1938,KENTUCKY,21,26.5,2484000,3
1937,KENTUCKY,21,25.5,2637000,3
1936,KENTUCKY,21,17,2780000,3
1935,KENTUCKY,21,21.5,2604000,3
1934,KENTUCKY,21,22,2790000,3
1933,KENTUCKY,21,24.5,2764000,3
1932,KENTUCKY,21,23,2750000,3
1931,KENTUCKY,21,27,2836000,3
1930,KENTUCKY,21,10,2673000,3
1929,KENTUCKY,21,23.1,2645000,3
1928,KENTUCKY,21,20,2826000,3
1927,KENTUCKY,21,23,2692000,3
1926,KENTUCKY,21,27.5,2925000,3
1925,KENTUCKY,21,23,3079000,3
1924,KENTUCKY,21,23,2894000,3
1923,KENTUCKY,21,24,3027000,3
1922,KENTUCKY,21,24,2858000,3
1921,KENTUCKY,21,22,2924000,3
1920,KENTUCKY,21,27.5,3074000,3
1919,KENTUCKY,21,22.5,3247000,3
1918,KENTUCKY,21,23.5,3680000,3
1917,KENTUCKY,21,29,3850000,3
1916,KENTUCKY,21,26,3540000,3
1915,KENTUCKY,21,27.5,3650000,3
1914,KENTUCKY,21,23,3540000,3
1913,KENTUCKY,21,18.5,3540000,3
1912,KENTUCKY,21,27,3500000,3
1911,KENTUCKY,21,23,3500000,3
1910,KENTUCKY,21,25.5,3470000,3
1909,KENTUCKY,21,24.3,3472000,3
1908,KENTUCKY,21,22,3400000,3
1907,KENTUCKY,21,27,3500000,3
1906,KENTUCKY,21,30.5,3550000,3
1905,KENTUCKY,21,29,3550000,3
1904,KENTUCKY,21,27,3700000,3
1903,KENTUCKY,21,26,3425000,3
1902,KENTUCKY,21,26,3500000,3
1901,KENTUCKY,21,16,3400000,3
1900,KENTUCKY,21,26.5,3370000,3
1899,KENTUCKY,21,22.3,3338000,3
1898,KENTUCKY,21,31,3390000,3
1897,KENTUCKY,21,22.5,3370000,3
1896,KENTUCKY,21,28,3390000,3
1895,KENTUCKY,21,30,3440000,3
1894,KENTUCKY,21,22.5,3290000,3
1893,KENTUCKY,21,21,3140000,3
1892,KENTUCKY,21,23,3130000,3
1891,KENTUCKY,21,28.5,3170000,3
1890,KENTUCKY,21,22.5,3080000,3
1889,KENTUCKY,21,26.5,3120000,3
1888,KENTUCKY,21,26.5,3210000,3
1887,KENTUCKY,21,18.5,3210000,3
1886,KENTUCKY,21,25.5,3230000,3
1885,KENTUCKY,21,25,3280000,3
1884,KENTUCKY,21,24,3120000,3
1883,KENTUCKY,21,23,3150000,3
1882,KENTUCKY,21,27,3100000,3
1881,KENTUCKY,21,17,2900000,3
1880,KENTUCKY,21,25,2960000,3
1879,KENTUCKY,21,24.1,3021000,3
1878,KENTUCKY,21,20,3020000,3
1877,KENTUCKY,21,26,2900000,3
1876,KENTUCKY,21,27,2820000,3
1875,KENTUCKY,21,27,2710000,3
1874,KENTUCKY,21,22.5,2530000,3
1873,KENTUCKY,21,25.5,2560000,3
1872,KENTUCKY,21,27.5,2580000,3
1871,KENTUCKY,21,23.5,2530000,3
1870,KENTUCKY,21,28,2460000,3
1869,KENTUCKY,21,21.2,2370000,3
1868,KENTUCKY,21,28,2260000,3
1867,KENTUCKY,21,21,2030000,3
1866,KENTUCKY,21,26.5,1940000,3
2018,LOUISIANA,22,173,450000,3
2017,LOUISIANA,22,184,490000,3
2016,LOUISIANA,22,165,550000,3
2015,LOUISIANA,22,171,390000,3
2014,LOUISIANA,22,183,390000,3
2013,LOUISIANA,22,173,670000,3
2012,LOUISIANA,22,173,530000,3
2011,LOUISIANA,22,135,570000,3
2010,LOUISIANA,22,140,500000,3
2009,LOUISIANA,22,132,610000,3
2008,LOUISIANA,22,144,510000,3
2007,LOUISIANA,22,163,730000,3
2006,LOUISIANA,22,140,290000,3
2005,LOUISIANA,22,136,330000,3
2004,LOUISIANA,22,135,410000,3
2003,LOUISIANA,22,134,500000,3
2002,LOUISIANA,22,121,540000,3
2001,LOUISIANA,22,148,307000,3
2000,LOUISIANA,22,116,370000,3
1999,LOUISIANA,22,121,330000,3
1998,LOUISIANA,22,81,540000,3
1997,LOUISIANA,22,117,417000,3
1996,LOUISIANA,22,125,523000,3
1995,LOUISIANA,22,105,221000,3
1994,LOUISIANA,22,115,306000,3
1993,LOUISIANA,22,95,210000,3
1992,LOUISIANA,22,120,309000,3
1991,LOUISIANA,22,85,247000,3
1990,LOUISIANA,22,116,186000,3
1989,LOUISIANA,22,95,142000,3
1988,LOUISIANA,22,95,125000,3
1987,LOUISIANA,22,102,211000,3
1986,LOUISIANA,22,116,385000,3
1985,LOUISIANA,22,114,205000,3
1985,LOUISIANA,22,114,210000,3
1985,LOUISIANA,22,114,111.3,3
1984,LOUISIANA,22,115,82000,3
1984,LOUISIANA,22,115,83000,3
1984,LOUISIANA,22,115,113.6,3
1983,LOUISIANA,22,90,56000,3
1983,LOUISIANA,22,90,57000,3
1983,LOUISIANA,22,90,88.4,3
1982,LOUISIANA,22,80,40000,3
1982,LOUISIANA,22,80,43000,3
1982,LOUISIANA,22,80,74.4,3
1981,LOUISIANA,22,75,33000,3
1981,LOUISIANA,22,75,35000,3
1981,LOUISIANA,22,75,70.7,3
1980,LOUISIANA,22,46,30000,3
1980,LOUISIANA,22,46,36000,3
1980,LOUISIANA,22,46,38.3,3
1979,LOUISIANA,22,54,41000,3
1979,LOUISIANA,22,54,43000,3
1979,LOUISIANA,22,54,51.5,3
1978,LOUISIANA,22,59,47000,3
1978,LOUISIANA,22,59,50000,3
1978,LOUISIANA,22,59,55.5,3
1977,LOUISIANA,22,52,65000,3
1976,LOUISIANA,22,66,71000,3
1975,LOUISIANA,22,50,45000,3
1975,LOUISIANA,22,50,2800,3
1974,LOUISIANA,22,48,55000,3
1973,LOUISIANA,22,42,57000,3
1972,LOUISIANA,22,53,76000,3
1971,LOUISIANA,22,45,100000,3
1970,LOUISIANA,22,43,130000,3
1969,LOUISIANA,22,37,121000,3
1968,LOUISIANA,22,52,139000,3
1967,LOUISIANA,22,50,148000,3
1966,LOUISIANA,22,45,151000,3
1965,LOUISIANA,22,35,182000,3
1964,LOUISIANA,22,31,200000,3
1963,LOUISIANA,22,31,233000,3
