Year,Name,Code,Yield,Harvest area,region
1896,ALABAMA,1,12.5,2600000,3
1895,ALABAMA,1,15.5,2780000,3
1894,ALABAMA,1,15,2530000,3
1893,ALABAMA,1,11.5,2360000,3
1892,ALABAMA,1,13,2410000,3
1891,ALABAMA,1,14,2540000,3
1890,ALABAMA,1,10.5,2490000,3
1889,ALABAMA,1,14.1,2510000,3
1888,ALABAMA,1,13.5,2490000,3
1887,ALABAMA,1,13.5,2460000,3
1886,ALABAMA,1,12.5,2390000,3
1885,ALABAMA,1,13,2350000,3
1884,ALABAMA,1,13,2320000,3
1883,ALABAMA,1,11.5,2280000,3
1882,ALABAMA,1,14,2300000,3
1881,ALABAMA,1,11,2040000,3
1880,ALABAMA,1,12,1830000,3
1879,ALABAMA,1,12.4,2056000,3
1878,ALABAMA,1,13,2100000,3
1877,ALABAMA,1,12,2010000,3
1876,ALABAMA,1,13.5,1950000,3
1875,ALABAMA,1,13,1870000,3
1874,ALABAMA,1,12.5,1750000,3
1873,ALABAMA,1,12.5,1560000,3
1872,ALABAMA,1,13.5,1520000,3
1871,ALABAMA,1,11,1480000,3
1870,ALABAMA,1,13.5,1330000,3
1869,ALABAMA,1,12,1430000,3
1868,ALABAMA,1,12.5,1420000,3
1867,ALABAMA,1,13,1400000,3
1866,ALABAMA,1,9,1050000,3
2018,ARIZONA,4,220,15000,4
2017,ARIZONA,4,195,32000,4
2016,ARIZONA,4,215,50000,4
2015,ARIZONA,4,210,36000,4
2014,ARIZONA,4,210,28000,4
2013,ARIZONA,4,177,51000,4
2012,ARIZONA,4,195,32000,4
2011,ARIZONA,4,178,35000,4
2010,ARIZONA,4,210,22000,4
2009,ARIZONA,4,175,20000,4
2008,ARIZONA,4,165,15000,4
2007,ARIZONA,4,185,22000,4
2006,ARIZONA,4,170,18000,4
2005,ARIZONA,4,195,22000,4
2004,ARIZONA,4,180,27000,4
2003,ARIZONA,4,190,22000,4
2002,ARIZONA,4,185,28000,4
2001,ARIZONA,4,208,28000,4
2000,ARIZONA,4,196,33000,4
1999,ARIZONA,4,195,30000,4
1998,ARIZONA,4,175,30000,4
1997,ARIZONA,4,165,40000,4
1996,ARIZONA,4,175,40000,4
1995,ARIZONA,4,170,22000,4
1994,ARIZONA,4,170,15000,4
1993,ARIZONA,4,160,10000,4
1992,ARIZONA,4,170,11000,4
1991,ARIZONA,4,170,5000,4
1990,ARIZONA,4,160,7000,4
1989,ARIZONA,4,145,13000,4
1988,ARIZONA,4,155,13000,4
1987,ARIZONA,4,140,15000,4
1986,ARIZONA,4,140,15000,4
1985,ARIZONA,4,130,14000,4
1984,ARIZONA,4,135,18000,4
1983,ARIZONA,4,145,13000,4
1982,ARIZONA,4,132,18000,4
1982,ARIZONA,4,132,18000,4
1982,ARIZONA,4,132,132,4
1981,ARIZONA,4,130,30000,4
1981,ARIZONA,4,130,30000,4
1981,ARIZONA,4,130,130,4
1980,ARIZONA,4,100,35000,4
1980,ARIZONA,4,100,100,4
1979,ARIZONA,4,115,45000,4
1979,ARIZONA,4,115,46000,4
1979,ARIZONA,4,115,112.5,4
1978,ARIZONA,4,115,50000,4
1978,ARIZONA,4,115,51000,4
1978,ARIZONA,4,115,112.7,4
1977,ARIZONA,4,100,50000,4
1977,ARIZONA,4,100,52000,4
1977,ARIZONA,4,100,96.2,4
1976,ARIZONA,4,60,28000,4
1975,ARIZONA,4,33,12000,4
1974,ARIZONA,4,34,10000,4
1973,ARIZONA,4,32,9000,4
1972,ARIZONA,4,35,15000,4
1971,ARIZONA,4,32,16000,4
1970,ARIZONA,4,24,15000,4
1969,ARIZONA,4,27,20000,4
1968,ARIZONA,4,32,17000,4
1967,ARIZONA,4,37,21000,4
1966,ARIZONA,4,36,19000,4
1965,ARIZONA,4,28,20000,4
1964,ARIZONA,4,27,21000,4
1963,ARIZONA,4,25,18000,4
1962,ARIZONA,4,24,17000,4
